 NAME , PRICE (Rs) , DATE 
    Name,  Price (Rs),2018-09- 12
Avarai (1 Kg) : ,35.00,2018-09- 12
Amla (1 Kg) : ,125.00,2018-09- 12
Baby corn (1 Kg) : ,80.00,2018-09- 12
Beans (1 Kg) : ,25.00,2018-09- 12
Beetroot (1 Kg) : ,12.00,2018-09- 12
Bittergourd (1 Kg) : ,30.00,2018-09- 12
Brinjal (1 Kg) : ,35.00,2018-09- 12
Brinjal - Big (1 Kg) : ,15.00,2018-09- 12
Brinjal - Green (1 Kg) : ,15.00,2018-09- 12
Butter Beans (1 Kg) : ,60.00,2018-09- 12
Cabbage (1 Kg) : ,10.00,2018-09- 12
Capscicum - Red (1 Kg) :,150.00,2018-09- 12
Capscicum - Green (1 Kg) : ,40.00,2018-09- 12
Carrot (1 Kg) : ,40.00,2018-09- 12
Cauliflower (1 Piece) : ,15.00,2018-09- 12
Chow Chow (1 Kg) : ,35.00,2018-09- 12
Cluster Beans (1 Kg) : ,45.00,2018-09- 12
Coconut (Small) : ,25.00,2018-09- 12
Coconut (Big) : ,35.00,2018-09- 12
Cucumber (1 Kg) : ,30.00,2018-09- 12
Double Beans (1 Kg) : ,170.00,2018-09- 12
Drumstick (1 Kg) : ,20.00,2018-09- 12
Garlic - Big (Hills) (1 Kg) : ,120.00,2018-09- 12
Garlic - Small (Country) (1 Kg) : ,110.00,2018-09- 12
Ginger (1 Kg) : ,60.00,2018-09- 12
Green Peas (1 Kg) : ,60.00,2018-09- 12
Green Chilli (1 Kg) : ,25.00,2018-09- 12
Karunai Kizhangu (1 Kg) : ,50.00,2018-09- 12
Kovakkai (1 Kg) : ,25.00,2018-09- 12
Ladies Fingers (1 Kg) : ,15.00,2018-09- 12
Mango - Raw (1 Kg) : ,30.00,2018-09- 12
Maravalli Kizhangu (1 Kg) : ,40.00,2018-09- 12
Noolkol (1 Kg) : ,25.00,2018-09- 12
Onion - Big (1 Kg) : ,15.00,2018-09- 12
Onion - Small (1 Kg) : ,35.00,2018-09- 12
Onion - White (1 Kg) : ,40.00,2018-09- 12
Peerkankkai (1 Kg) : ,40.00,2018-09- 12
Potato (1 Kg) : ,25.00,2018-09- 12
Potatoes - Baby (1 Kg) : ,55.00,2018-09- 12
Radish (1 Kg) : ,06.00,2018-09- 12
Senaikizhangu (1 Kg) : ,30.00,2018-09- 12
Seppankizhangu (1 Kg) : ,35.00,2018-09- 12
Snake Gourd (1 Kg) : ,15.00,2018-09- 12
Bottle Guard (1 Kg) : ,05.00,2018-09- 12
Tomato - Bangalore (1 Kg) : ,12.00,2018-09- 12
Tomato - Local (1 Kg) : ,10.00,2018-09- 12
Vazhai Poo (1 Piece) : ,20.00,2018-09- 12
Vazhai Thandu (1 Piece) : ,15.00,2018-09- 12
Yellow Pumpkin (1 Kg) : ,05.00,2018-09- 12
